Date,Type,Ticker,Shares,Price,Amount
2022-04-21,BUY,000270.KS,35,67480.390625,2361813.671875
2022-04-21,BUY,035420.KS,7,304775.375,2133427.625
2022-04-21,BUY,005380.KS,15,152507.90625,2287618.59375
2022-04-21,BUY,012330.KS,12,198747.71875,2384972.625
2022-04-21,BUY,034020.KS,111,21750.0,2414250.0
2022-04-21,BUY,055550.KS,69,34785.375,2400190.875
2022-04-21,BUY,017670.KS,48,49931.01171875,2396688.5625
2022-05-24,SELL,005490.KS,9,258453.296875,2326079.671875
2022-05-24,SELL,000270.KS,35,70351.8984375,2462316.4453125
2022-05-24,SELL,035420.KS,7,261939.4375,1833576.0625
2022-05-24,SELL,005380.KS,15,154174.703125,2312620.546875
2022-05-24,SELL,012330.KS,12,186091.609375,2233099.3125
2022-05-24,SELL,034020.KS,111,20150.0,2236650.0
2022-05-24,SELL,055550.KS,69,35332.1875,2437920.9375
2022-05-24,SELL,017670.KS,48,45501.640625,2184078.75
2022-05-24,BUY,015760.KS,99,23254.6328125,2302208.6484375
2022-05-24,BUY,000660.KS,22,104607.5078125,2301365.171875
2022-05-24,BUY,105560.KS,46,50060.94140625,2302803.3046875
2022-05-24,BUY,006400.KS,4,580474.3125,2321897.25
2022-05-24,BUY,055550.KS,65,35332.1875,2296592.1875
2022-05-24,BUY,005930.KS,37,61526.5390625,2276481.9453125
2022-05-24,BUY,028260.KS,21,108104.328125,2270190.890625
2022-05-24,BUY,051910.KS,4,524674.625,2098698.5
2022-06-24,SELL,015760.KS,99,22265.07421875,2204242.34765625
2022-06-24,SELL,000660.KS,22,88313.796875,1942903.53125
2022-06-24,SELL,105560.KS,46,41296.0546875,1899618.515625
2022-06-24,SELL,006400.KS,4,545745.125,2182980.5
2022-06-24,SELL,055550.KS,65,32556.080078125,2116145.205078125
2022-06-24,SELL,005930.KS,37,54032.3359375,1999196.4296875
2022-06-24,SELL,028260.KS,21,104814.203125,2201098.265625
2022-06-24,SELL,051910.KS,4,528568.3125,2114273.25
2022-06-24,BUY,068270.KS,14,149690.5,2095667.0
2022-06-24,BUY,207940.KS,1,1277692.375,1277692.375
2022-06-24,BUY,015760.KS,95,22265.07421875,2115182.05078125
2022-06-24,BUY,035420.KS,8,243721.84375,1949774.75
2022-06-24,BUY,030200.KS,69,30636.34375,2113907.71875
2022-06-24,BUY,096770.KS,11,184192.921875,2026122.140625
2022-06-24,BUY,051910.KS,4,528568.3125,2114273.25
2022-06-24,BUY,028260.KS,20,104814.203125,2096284.0625
2022-07-25,SELL,068270.KS,14,161473.71875,2260632.0625
2022-07-25,SELL,207940.KS,1,1274617.25,1274617.25
2022-07-25,SELL,015760.KS,95,21770.294921875,2068178.017578125
2022-07-25,SELL,035420.KS,8,244214.21875,1953713.75
2022-07-25,SELL,030200.KS,69,30677.408203125,2116741.166015625
2022-07-25,SELL,096770.KS,11,166982.984375,1836812.828125
2022-07-25,SELL,051910.KS,4,541222.8125,2164891.25
2022-07-25,SELL,028260.KS,20,110454.421875,2209088.4375
2022-07-25,BUY,373220.KS,5,391000.0,1955000.0
2022-07-25,BUY,012330.KS,10,212903.5625,2129035.625
2022-07-25,BUY,005380.KS,13,164224.75,2134921.75
2022-07-25,BUY,005490.KS,10,213223.625,2132236.25
2022-07-25,BUY,009830.KS,56,38156.03125,2136737.75
2022-07-25,BUY,000270.KS,30,69507.3359375,2085220.078125
2022-07-25,BUY,086790.KS,74,28954.634765625,2142642.97265625
2022-07-25,BUY,055550.KS,70,30598.55859375,2141899.1015625
2022-08-24,SELL,373220.KS,5,451000.0,2255000.0
2022-08-24,SELL,012330.KS,10,196888.6875,1968886.875
2022-08-24,SELL,005380.KS,13,157521.703125,2047782.140625
2022-08-24,SELL,005490.KS,10,223225.609375,2232256.09375
2022-08-24,SELL,009830.KS,56,53138.19921875,2975739.15625
2022-08-24,SELL,000270.KS,30,64693.3359375,1940800.078125
2022-08-24,SELL,086790.KS,74,31031.37890625,2296322.0390625
2022-08-24,SELL,055550.KS,70,30683.552734375,2147848.69140625
2022-08-24,BUY,009830.KS,42,53138.19921875,2231804.3671875
2022-08-24,BUY,015760.KS,112,20137.521484375,2255402.40625
2022-08-24,BUY,034020.KS,105,21600.0,2268000.0
2022-08-24,BUY,028260.KS,19,115624.6328125,2196868.0234375
2022-08-24,BUY,017670.KS,54,41871.01953125,2261035.0546875
2022-08-24,BUY,096770.KS,11,190704.78125,2097752.59375
2022-08-24,BUY,105560.KS,52,42910.26171875,2231333.609375
2022-08-24,BUY,086790.KS,73,31031.37890625,2265290.66015625
2022-09-26,SELL,009830.KS,42,49958.53515625,2098258.4765625
2022-09-26,SELL,015760.KS,112,20038.56640625,2244319.4375
2022-09-26,SELL,034020.KS,105,15500.0,1627500.0
2022-09-26,SELL,028260.KS,19,99173.9765625,1884305.5546875
2022-09-26,SELL,017670.KS,54,43751.953125,2362605.46875
2022-09-26,SELL,096770.KS,11,147447.359375,1621920.953125
2022-09-26,SELL,105560.KS,52,39547.26171875,2056457.609375
2022-09-26,SELL,086790.KS,73,29953.068359375,2186573.990234375
2022-09-26,BUY,005380.KS,13,152913.375,1987873.875
2022-09-26,BUY,015760.KS,102,20038.56640625,2043933.7734375
2022-09-26,BUY,105560.KS,51,39547.26171875,2016910.34765625
2022-09-26,BUY,017670.KS,46,43751.953125,2012589.84375
2022-09-26,BUY,055550.KS,68,30046.083984375,2043133.7109375
2022-09-26,BUY,086790.KS,68,29953.068359375,2036808.6484375
2022-09-26,BUY,006400.KS,3,592381.4375,1777144.3125
2022-09-26,BUY,009830.KS,41,49958.53515625,2048299.94140625
2022-10-27,SELL,005380.KS,13,135736.765625,1764577.953125
2022-10-27,SELL,015760.KS,102,16921.455078125,1725988.41796875
2022-10-27,SELL,105560.KS,51,40471.8046875,2064062.0390625
2022-10-27,SELL,017670.KS,46,41894.6171875,1927152.390625
2022-10-27,SELL,055550.KS,68,30917.134765625,2102365.1640625
2022-10-27,SELL,086790.KS,68,32828.56640625,2232342.515625
2022-10-27,SELL,006400.KS,3,721375.75,2164127.25
